participant,2,3,4,5,6,7,8,9,10,11,11
Orchid,Penny,Jyll,Jyll,None,N/A,Whitney,Jyll,Jeff,N/A,Susie,Susie
WIN,IN,WIN,WIN,HIGH,IN,IN,WIN,WIN,LOW,IN,WINNER
IN,IN,LOW,WIN,WIN,HIGH,IN,LOW,HIGH,WIN,WIN,RUNNER-UP
LOW,IN,WIN,WIN,HIGH,WIN,IN,LOW,HIGH,WIN,OUT,
IN,WIN,LOW,WIN,IN,LOW,LOW,LOW,LOW,OUT,,
IN,WIN,IN,LOW,IN,LOW,IN,HIGH,OUT,,,
LOW,IN,IN,IN,LOW,IN,LOW,OUT,,,,
IN,IN,WIN,LOW,IN,HIGH,OUT,,,,,
IN,LOW,WIN,IN,IN,IN,OUT,,,,,
WIN,IN,IN,WIN,LOW,OUT,,,,,,
IN,IN,WIN,LOW,OUT,,,,,,,
IN,WIN,WIN,OUT,,,,,,,,
IN,LOW,OUT,,,,,,,,,
IN,OUT,,,,,,,,,,
WIN,OUT,,,,,,,,,,
OUT,,,,,,,,,,,