Participant,05.1,05.2,06,07.1,07.2,08,09.1,09.2,10,11.1,11.2,12,13.1,13.2,14,15.1,15.2,16,17.1,17.2,18,19.1,19.2,20
Jennifer,IN,IN,LOW,LOW,IN,WIN,WIN,IN,PT,WIN,LOW,WIN,IN,LOW,PT,WIN,IN,PT,HIGH,LOW,WIN,LOW,IN,WINNER
Adrien,IN,IN,WIN,WIN,IN,NPT,HIGH,LOW,WIN,IN,LOW,WIN,WIN,IN,PT,HIGH,IN,LOW,HIGH,LOW,WIN,WIN,WIN,RUNNER-UP
Christian,WIN,IMM,PT,IN,IN,WIN,LOW,WIN,WIN,IN,IN,WIN,HIGH,WIN,PT,IN,IN,WIN,IN,LOW,PT,HIGH,ELIM,
Suzy,HIGH,IN,WIN,IN,IN,WIN,IN,IN,LOW,IN,IN,PT,IN,LOW,WIN,HIGH,WIN,WIN,IN,WIN,ELIM,,,
Ben,LOW,IN,WIN,IN,IN,NPT,IN,WIN,PT,IN,IN,PT,HIGH,IN,WIN,IN,LOW,WIN,WIN,ELIM,,,,
Tracy,IN,IN,PT,HIGH,WIN,WIN,IN,IN,PT,IN,WIN,WIN,IN,IN,WIN,IN,WIN,ELIM,,,,,,
Derrick,IN,WIN,WIN,IN,IN,NPT,IN,IN,WIN,HIGH,IN,LOW,IN,IN,PT,IN,ELIM,,,,,,,
Christine,IN,IN,WIN,IN,IN,PT,IN,IN,LOW,IN,IN,WIN,IN,WIN,WIN,IN,ELIM,,,,,,,
Alejandra,IN,IN,PT,HIGH,IN,WIN,HIGH,LOW,WIN,HIGH,IN,PT,IN,ELIM,,,,,,,,,,
Giuseppe,IN,IN,PT,IN,IN,WIN,IN,IN,WIN,IN,WIN,ELIM,,,,,,,,,,,,
Erryn,IN,LOW,WIN,IN,IN,WIN,IN,IN,WIN,IN,ELIM,,,,,,,,,,,,,
Esther,IN,IN,LOW,IN,WIN,NPT,IN,IN,ELIM,,,,,,,,,,,,,,,
Jennie,HIGH,IN,WIN,IN,LOW,NPT,IN,ELIM,,,,,,,,,,,,,,,,
Max,IN,WIN,PT,IN,LOW,ELIM,,,,,,,,,,,,,,,,,,
Alvin,IN,IN,WIN,IN,ELIM,,,,,,,,,,,,,,,,,,,
Tony,IN,IN,ELIM,,,,,,,,,,,,,,,,,,,,,
Angel,IN,ELIM,,,,,,,,,,,,,,,,,,,,,,
Mark,IN,ELIM,,,,,,,,,,,,,,,,,,,,,,